id,rz,sx,x,cx,reset,measure,u3,u2,u1,measureSuccess,u3Success,u2Success,cxSuccess,rzSuccess,u1Success,resetSuccess,xSuccess,sxSuccess,idSuccess,Machine,GraphDensity,AvgDegree,AvgConnectivity,AvgNeighborDegree,AvgClustering,AvgShortestPath,NumQubit,Depth,qubit_count,circuit_depth,circuit_width,retention_lifespan,gate_density,dual_gate_count,measurement_density,size_factor,gate_count,entanglement_variance,PST,TVD,Entropy,Swaps,L2,Hellinger
0,26,4,2,20,0,4,-1,-1,-1,0.9833400000000001,1.0,1.0,0.9942310916292324,1,1,0.9779285576818812,0.9996294597819153,0.9996294597819153,0.9996294597819153,2,0.4,1.6,1.0,1.8,0.0,2.0,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.5048828125,0.495117187425,1.9747960025766575,10,0.5154011558296385,0.76084239901581
0,26,4,2,20,0,4,-1,-1,-1,0.9696,1.0,1.0,0.9927898647489171,1,1,0.9527843293420855,0.9997106123221975,0.9997106123221975,0.9997106123221975,3,0.4,1.6,1.0,2.2666666666666666,0.0,1.8,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.4228515625,0.577148437425,2.1529750715687004,17,0.6020727594356621,0.8363261303449617
0,26,4,2,20,0,4,-1,-1,-1,0.9625,1.0,1.0,0.9808725435749985,1,1,0.9699656647493635,0.9995111620971746,0.9995111620971746,0.9995111620971746,5,0.4,1.6,1.0,1.8,0.0,2.0,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.2509765625,0.749023437425,2.540201288178965,8,0.7771130703482687,0.9990134839171768
0,-1,-1,-1,20,-1,4,2,4,18,0.9650000000000001,0.9992076029941618,0.9996036299449258,0.99256611367308,1,1,1.0,1.0,1.0,0.9996036299449258,7,0.4,1.6,1.0,2.2666666666666666,0.0,1.8,5,23,4,25,4,3.2188758248682006,0.64,20,1.151292546497023,4.1588830833596715,44,0.5493061443340549,0.236328125,0.763671874925,2.5826063217868347,16,0.7909167569289303,1.0137588433349283
0,-1,-1,-1,20,-1,4,2,4,18,0.96126,1.0,1.0,0.9889306641814675,1,1,1.0,1.0,1.0,1.0,11,0.4,1.6,1.0,2.2666666666666666,0.0,1.8,5,23,4,25,4,3.2188758248682006,0.64,20,1.151292546497023,4.1588830833596715,44,0.5493061443340549,0.365234375,0.634765624925,2.3194270417043317,16,0.6589951998681165,0.889543963150218
0,26,4,2,20,0,4,-1,-1,-1,0.96566,1.0,1.0,0.9987046336893022,1,1,0.9313453596464274,0.999509747837673,0.999509747837673,0.999509747837673,18,0.4,1.6,1.0,2.2666666666666666,0.0,1.8,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.50390625,0.496093749925,1.946878420939292,17,0.5186107770299433,0.761745659705602
0,-1,-1,-1,20,-1,4,2,4,18,0.943,0.9991333878495879,0.9995663833269482,0.9973258668761604,1,1,1.0,1.0,1.0,0.9995663833269482,19,0.4,1.6,1.0,2.2666666666666666,0.0,1.8,5,23,4,25,4,3.2188758248682006,0.64,20,1.151292546497023,4.1588830833596715,44,0.5493061443340549,0.4638671875,0.536132812425,2.0433320069105876,17,0.5609312434269985,0.7986406977951652
0,26,4,2,20,-1,4,-1,-1,-1,0.9693999999999999,1.0,1.0,0.9915309115275228,1,1,1.0,0.9994803955960198,0.9994803955960198,0.9994803955960198,26,0.4,1.6,1.0,2.2666666666666666,0.0,1.8,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.5556640625,0.444335937425,1.7014307276375897,15,0.47764190002457074,0.7135318186001326
0,26,4,2,20,0,4,-1,-1,-1,0.9493199999999999,1.0,1.0,0.9832282953458744,1,1,0.872784961502177,0.9984303836499713,0.9984303836499713,0.9984303836499713,29,0.4,1.6,1.0,2.2666666666666666,0.0,1.8,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.1884765625,0.811523437425,2.628483514549878,15,0.8415226677721727,1.063814155211668
0,26,4,2,20,0,4,-1,-1,-1,0.97432,1.0,1.0,0.9952997709148018,1,1,0.9861884753432915,0.9998203750242555,0.9998203750242555,0.9998203750242555,31,0.4,1.6,1.0,1.8,0.0,2.0,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.5146484375,0.485351562425,1.9478581837783155,8,0.5049744159429214,0.7518001333526354
0,26,4,2,20,0,4,-1,-1,-1,0.98582,1.0,1.0,0.9931502757325131,1,1,0.9687571127892228,0.9997111642368285,0.9997111642368285,0.9997111642368285,33,0.4,1.6,1.0,1.8,0.0,2.0,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.7607421875,0.239257812425,1.1222855402009602,8,0.25229733632772744,0.5055475657841255
0,-1,-1,-1,20,-1,4,2,4,18,0.8316500000000001,0.9955695571751152,0.9977847785875575,0.94949775363808,1,1,1.0,1.0,1.0,1.0,36,0.3,1.2,0.6,0.8,0.4333333333333334,0.7,5,23,4,25,4,3.2188758248682006,0.64,20,1.151292546497023,4.1588830833596715,44,0.5493061443340549,0.0986328125,0.901367187425,2.73156193438544,9,0.9330797895457443,1.1712641536051194
0,26,4,2,20,-1,4,-1,-1,-1,0.9618800000000001,1.0,1.0,0.987698239503074,1,1,1.0,0.9992588698278387,0.9992588698278387,0.9992588698278387,39,0.4,1.6,1.0,2.2666666666666666,0.0,1.8,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.4677734375,0.532226562425,1.9012952700985113,15,0.5733810854309553,0.795050036247101
